2016-05-07 00:30:33 status unpacked libacl1:amd64 2.2.52-3
2016-05-07 00:30:33 status unpacked libacl1:amd64 2.2.52-3
2016-05-07 00:30:33 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2016-05-07 00:30:33 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2016-05-07 00:30:33 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2016-05-07 00:30:33 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2016-05-07 00:30:33 install libattr1:amd64 <none> 1:2.4.47-2
2016-05-07 00:30:33 status half-installed libattr1:amd64 1:2.4.47-2
2016-05-07 00:30:33 status unpacked libattr1:amd64 1:2.4.47-2
2016-05-07 00:30:33 status unpacked libattr1:amd64 1:2.4.47-2
2016-05-07 00:30:33 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2016-05-07 00:30:33 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2016-05-07 00:30:33 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:33 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:33 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:33 install libbz2-1.0:amd64 <none> 1.0.6-8
2016-05-07 00:30:33 status half-installed libbz2-1.0:amd64 1.0.6-8
2016-05-07 00:30:33 status unpacked libbz2-1.0:amd64 1.0.6-8
2016-05-07 00:30:33 status unpacked libbz2-1.0:amd64 1.0.6-8
